datetime,skin_temp,air_temp,heartrate,steps,gsr,calories,act_type,sleep_type,toss_turn
2015-04-04 00:00:00,90.3,85.6,57,0,0.00736,0.9,,deep,
2015-04-04 00:01:00,90.3,85.6,58,0,0.00728,1.0,,deep,
2015-04-04 00:02:00,90.3,85.6,57,0,0.0078,0.9,,deep,
2015-04-04 00:03:00,90.3,85.6,58,0,0.00865,1.1,,deep,
2015-04-04 00:04:00,90.3,85.6,58,0,0.00785,0.9,,deep,
2015-04-04 00:05:00,90.3,85.6,58,0,0.00717,1.0,,deep,
2015-04-04 00:06:00,90.5,85.6,58,0,0.00815,1.0,,deep,
2015-04-04 00:07:00,90.5,85.6,59,0,0.00762,1.0,,deep,
2015-04-04 00:08:00,90.5,85.6,59,0,0.00776,1.0,,deep,
2015-04-04 00:09:00,90.5,85.6,58,0,0.00776,1.0,,deep,
2015-04-04 00:10:00,90.5,85.6,59,0,0.00817,1.0,,deep,
2015-04-04 00:11:00,90.5,85.6,59,0,0.0075,1.1,,deep,
2015-04-04 00:12:00,90.5,85.6,59,0,0.00787,1.0,,deep,
2015-04-04 00:13:00,90.5,86.0,60,0,0.00797,1.0,,deep,
2015-04-04 00:14:00,90.5,86.0,60,0,0.00805,1.0,,deep,
2015-04-04 00:15:00,90.5,86.0,61,0,0.00812,1.0,,deep,
2015-04-04 00:16:00,90.7,86.0,60,0,0.00783,1.0,,deep,
2015-04-04 00:17:00,90.7,86.0,59,0,0.00834,1.0,,deep,
2015-04-04 00:18:00,90.7,86.0,60,0,0.00822,1.0,,deep,
2015-04-04 00:19:00,90.7,86.0,61,0,0.00834,1.0,,deep,
2015-04-04 00:20:00,90.7,86.0,60,0,0.00845,1.0,,deep,
2015-04-04 00:21:00,90.7,86.0,60,0,0.00801,1.0,,deep,
2015-04-04 00:22:00,90.7,86.0,57,0,0.00863,1.0,,light,
2015-04-04 00:23:00,90.7,86.0,59,0,0.00835,1.0,,light,
2015-04-04 00:24:00,90.7,86.0,60,0,0.0088,1.0,,light,
2015-04-04 00:25:00,90.7,86.0,58,0,0.00845,1.0,,light,
2015-04-04 00:26:00,90.7,86.0,60,0,0.00895,1.0,,light,
2015-04-04 00:27:00,90.7,86.4,59,0,0.0085,1.0,,light,
2015-04-04 00:28:00,90.7,86.4,69,0,0.00984,1.4,,light,
2015-04-04 00:29:00,90.9,86.0,55,0,0.0101,1.0,,light,
2015-04-04 00:30:00,91.1,86.4,57,0,0.0104,1.0,,light,
2015-04-04 00:31:00,91.2,86.4,58,0,0.0101,1.0,,light,
2015-04-04 00:32:00,91.4,86.4,59,0,0.0103,1.0,,light,
2015-04-04 00:33:00,91.4,86.4,59,0,0.0108,1.1,,light,
2015-04-04 00:34:00,91.4,86.4,60,0,0.0104,1.0,,light,
2015-04-04 00:35:00,91.5,86.4,61,0,0.0106,1.0,,light,
2015-04-04 00:36:00,91.5,86.4,61,0,0.0104,1.0,,light,
2015-04-04 00:37:00,91.5,86.4,61,0,0.0104,1.0,,light,
2015-04-04 00:38:00,91.6,86.4,62,0,0.0105,1.0,,light,
2015-04-04 00:39:00,91.6,86.0,59,0,0.012,1.1,,light,
2015-04-04 00:40:00,91.6,86.9,59,0,0.0117,1.2,,light,
2015-04-04 00:41:00,91.8,87.3,62,0,0.0125,1.1,,light,
2015-04-04 00:42:00,91.9,87.8,61,0,0.0128,1.0,,light,
