datetime,skin_temp,air_temp,heartrate,steps,gsr,calories,act_type,sleep_type,toss_turn
2015-04-07 00:00:00,90.7,85.2,64,0,0.00332,1.0,,rem,toss_and_turn
2015-04-07 00:01:00,90.7,85.6,68,0,0.00346,1.3,,rem,toss_and_turn
2015-04-07 00:02:00,90.8,85.6,58,0,0.00571,1.6,,light,toss_and_turn
2015-04-07 00:03:00,90.9,85.6,57,0,0.00482,1.3,,light,toss_and_turn
2015-04-07 00:04:00,90.9,85.6,56,0,0.00591,1.0,,light,
2015-04-07 00:05:00,90.9,85.6,59,0,0.00633,1.0,,light,
2015-04-07 00:06:00,90.9,86.0,58,0,0.00624,1.0,,light,
2015-04-07 00:07:00,91.0,86.1,59,0,0.00652,1.0,,light,
2015-04-07 00:08:00,91.2,86.5,59,0,0.00649,0.9,,light,
2015-04-07 00:09:00,91.2,87.0,59,0,0.00712,1.0,,light,
2015-04-07 00:10:00,91.4,87.3,59,0,0.00673,1.0,,light,
2015-04-07 00:11:00,91.4,87.3,59,0,0.00671,1.0,,light,
2015-04-07 00:12:00,91.5,87.4,58,0,0.0071,1.0,,light,
2015-04-07 00:13:00,91.6,87.8,58,0,0.00721,1.0,,light,
2015-04-07 00:14:00,91.6,87.8,57,0,0.00718,1.1,,light,
2015-04-07 00:15:00,91.8,87.9,58,0,0.00734,0.9,,light,
2015-04-07 00:16:00,91.8,88.2,57,0,0.00736,1.0,,light,
2015-04-07 00:17:00,91.9,88.2,61,0,0.00731,1.2,,light,
2015-04-07 00:18:00,92.2,88.3,56,0,0.00739,1.0,,light,
2015-04-07 00:19:00,92.3,88.7,57,0,0.00735,1.0,,light,
2015-04-07 00:20:00,92.5,88.7,56,0,0.00746,1.0,,light,
2015-04-07 00:21:00,92.6,88.8,57,0,0.00768,1.0,,light,
2015-04-07 00:22:00,92.8,89.2,67,0,0.00761,1.1,,,
2015-04-07 00:23:00,92.8,89.2,62,0,0.00783,1.2,,,
2015-04-07 00:24:00,92.8,89.1,75,0,0.00783,1.6,,,
2015-04-07 00:25:00,92.5,88.6,66,0,0.00798,1.2,,,
2015-04-07 00:26:00,92.5,88.2,64,0,0.00777,1.1,,,
2015-04-07 00:27:00,92.5,88.2,54,0,0.00818,1.1,,,
2015-04-07 00:28:00,92.5,87.8,58,0,0.00795,1.1,,,
2015-04-07 00:29:00,92.4,87.7,71,0,0.00794,1.3,,,
2015-04-07 00:30:00,92.3,87.3,61,0,0.00842,1.4,,,
2015-04-07 00:31:00,92.4,87.6,59,0,0.00821,1.8,,,
2015-04-07 00:32:00,92.7,89.4,55,0,0.0086,1.5,,,
2015-04-07 00:33:00,93.1,90.6,58,0,0.00905,1.3,,,
2015-04-07 00:34:00,93.4,91.0,61,0,0.00902,1.5,,,
2015-04-07 00:35:00,93.7,91.2,65,8,0.00922,2.1,,,
2015-04-07 00:36:00,93.7,89.9,64,0,0.00911,1.5,,,
2015-04-07 00:37:00,93.5,89.2,59,0,0.00993,1.2,,,
2015-04-07 00:38:00,93.3,89.2,57,0,0.00832,1.0,,,
2015-04-07 00:39:00,93.1,89.2,59,0,0.00909,1.0,,,
2015-04-07 00:40:00,93.0,89.2,57,0,0.00864,1.1,,,
2015-04-07 00:41:00,93.0,89.2,59,0,0.00844,1.0,,,
2015-04-07 00:42:00,92.8,89.2,58,0,0.00881,1.0,,,
2015-04-07 00:43:00,92.8,89.2,66,0,0.00888,1.0,,,
2015-04-07 00:44:00,92.8,89.2,63,0,0.00908,0.9,,,
2015-04-07 00:45:00,92.9,89.7,62,0,0.00906,1.1,,,
2015-04-07 00:46:00,93.0,90.1,62,0,0.00917,1.0,,,
2015-04-07 00:47:00,93.2,90.0,63,0,0.00915,1.6,,,
2015-04-07 00:48:00,93.0,89.5,63,0,0.0092,1.1,,,
2015-04-07 00:49:00,93.0,89.2,58,0,0.00956,1.0,,,
2015-04-07 00:50:00,93.0,89.2,65,0,0.00991,1.3,,,
2015-04-07 00:51:00,92.9,89.5,64,0,0.0112,1.4,,,
2015-04-07 00:52:00,92.8,89.1,55,0,0.0109,1.0,,,
2015-04-07 00:53:00,92.6,88.6,58,0,0.011,1.1,,,
2015-04-07 00:54:00,92.4,88.2,57,0,0.0102,1.0,,,
2015-04-07 00:55:00,92.3,87.8,57,0,0.00995,1.2,,,
2015-04-07 00:56:00,92.3,88.0,59,0,0.00967,1.2,,,
2015-04-07 00:57:00,92.5,89.4,67,0,0.0103,1.8,,,
2015-04-07 00:58:00,92.7,90.7,60,0,0.0103,1.8,,,
2015-04-07 00:59:00,93.1,91.9,58,0,0.0109,1.7,,,
2015-04-07 01:00:00,93.5,92.3,60,0,0.0106,1.5,,,
2015-04-07 01:01:00,93.7,92.4,63,0,0.0115,1.9,,,
2015-04-07 01:02:00,94.0,93.2,64,0,0.0111,1.7,,,
2015-04-07 01:03:00,94.3,93.3,61,0,0.0103,1.8,,,
